"filename","url","format","width","height","bytes"
"CHI-01-21-DSCF9440","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979054/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-01-21-DSCF9440.jpg","jpg","1152","1440","716446"
"CHI-359","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979065/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-359.jpg","jpg","1440","960","630018"
"CHI-09-19-DSCF1377","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979091/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-09-19-DSCF1377.jpg","jpg","1440","1440","614772"
"CHI-147","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979108/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-147.jpg","jpg","1440","960","785167"
"CHI-7876 copy","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979144/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-7876%20copy.jpg","jpg","960","1440","714875"
"Fountain Fairy","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979147/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/Fountain%20Fairy.jpg","jpg","960","1440","1321462"
"Tony_Menias 1","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979153/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/Tony_Menias%201.jpg","jpg","1440","960","1096563"
"CHI-8292","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979170/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-8292.jpg","jpg","960","1440","647674"
"CHI-9540","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979200/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-9540.jpg","jpg","1440","960","656735"
"CHI-Cafe-","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760979231/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-Cafe-.jpg","jpg","1440","960","740445"
